id	lesson	anchor	topic
1	1	спряжение	Обзор времён и наклонений санскритского глагола; десять классов корней
2	1	спряжение	Indicativus praesentis Parasmaipada, I класс
3	1	спряжение	Сандхи: конечные s и r → висарга
4	1	спряжение	Значения настоящего времени
5	2	грамматика	Таблица подъёма гласных (гуна, вриддхи)
6	2	грамматика	Основа настоящего времени корней I класса на гласный
7	2	грамматика	Склонение основ м. и ср. р. на a (Nom., Acc.)
8	2	грамматика	Главные значения падежей: Nominativus, Accusativus
9	2	грамматика	Сандхи конечных и начальных гласных
10	3	грамматика	Корни VI класса
11	3	грамматика	Склонение основ м. и ср. р. на a (полная парадигма)
12	3	грамматика	Значения падежей: Instrumentalis, Dativus, Ablativus, Genetivus, Locativus
13	4	грамматика	Существительные м. р. на i (agni)
14	4	грамматика	Существительные ср. р. на i (vāri)
15	4	грамматика	Прилагательные на i
16	4	грамматика	Правила сандхи
17	5	грамматика	Корни IV класса
18	5	грамматика	Существительные м. р. на u (bhānu)
19	5	грамматика	Правила сандхи
20	5	грамматика	Предлог ā с Acc. и Abl.
21	6	грамматика	Корни IV класса на iv
22	6	грамматика	Существительные ср. р. на u (madhu)
23	6	грамматика	Правила сандхи
24	7	грамматика	Корни X класса
25	7	грамматика	Гуна предпоследнего гласного
26	7	грамматика	Сандхи конечного t
27	8	грамматика	Indicativus praesentis Ātmanepada
28	8	грамматика	Значение Ātmanepada
29	8	грамматика	Сандхи конечных и начальных гласных
30	9	грамматика	Существительные ж. р. на ā (jāyā)
31	9	грамматика	Прилагательные на a (ж. р. ā)
32	9	грамматика	Правила сандхи; удвоение ch
33	9	грамматика	Церебрализация: n → ṇ после приставок
34	9	грамматика	Глагольные приставки
35	10	грамматика	Страдательный залог (суффикс ya)
36	10	грамматика	Изменения корневого гласного в пассиве
37	10	грамматика	Личная пассивная конструкция
38	11	грамматика	Imperfectum Parasmaipada; аугмент
39	11	грамматика	Многосложные существительные ж. р. на ī (nadī)
40	11	грамматика	Сандхи конечных носовых
41	12	грамматика	Существительные ж. р. на i (mati)
42	12	грамматика	Существительные ж. р. на u (dhenu)
43	12	грамматика	Прилагательные на i и u в ж. р.
44	13	грамматика	Imperfectum Ātmanepada
45	13	грамматика	Односложные существительные ж. р. на ī
46	13	грамматика	Глагольные приставки (продолжение)
47	13	грамматика	Сандхи после приставок
48	14	грамматика	Imperativus Parasmaipada
49	14	грамматика	Многосложные существительные на ū (vadhū)
50	14	грамматика	Значения императива
51	15	грамматика	Imperativus Ātmanepada
52	15	грамматика	Существительные на ṛ (kartṛ)
53	15	грамматика	Nomina actoris
54	16	грамматика	Optativus (Potentialis) Parasmaipada
55	16	грамматика	Значения оптатива
56	16	грамматика	Имена родства на ṛ
57	16	грамматика	Существительные на o (go)
58	17	грамматика	Optativus Ātmanepada
59	17	грамматика	Существительные на au (nau)
60	17	грамматика	Корневые основы на ā, ī, ū
61	18	грамматика	Каузатив (суффиксы paya, aya)
62	18	грамматика	Страдательный залог каузатива
63	18	грамматика	Значения каузатива
64	18	грамматика	Местоимение первого лица
65	19	грамматика	Местоимение второго лица
66	19	грамматика	Местоимение третьего лица (tad)
67	19	грамматика	Местоименные прилагательные (sarva и др.)
68	19	грамматика	Висарга форм saḥ и eṣaḥ
69	19	грамматика	Множественное число вместо единственного у местоимений
70	20	грамматика	Основы на согласный, имеющие одну форму
71	20	грамматика	Правила сандхи конечных согласных
72	20	грамматика	Согласование прилагательного с несколькими существительными
